ORGANIZATION NUMBER;Party_ID;ATTRIBUTE17
5561133447;21298278;SE
5561133496;10583860;SE
5561136945;17985574;SE
5561137059;20695736;SE
5561137448;391860;SE
5561137851;417572;SE
5561138826;21265503;SE
5561138990;10583862;SE
5561141739;20964725;SE
5561141812;19571491;SE
5561141887;4282252;SE
5561142810;3765195;SE
5561143461;10583864;SE
5561144949;22651717;SE
5561145698;10583865;SE
5561146258;180579;SE
5561146308;10583866;SE
5561154153;21688079;SE
5561155838;14969711;SE
5561158642;11432445;SE
5561162446;10583868;SE
5561165282;23259542;SE
5561165373;18509575;SE
5561169490;10583872;SE
5561171199;21086;SE
5561172734;11432438;SE
5561177014;417574;SE
5561178145;20216838;SE
5561184259;15003574;SE
5561184614;10583875;SE
5561185090;20695737;SE
5561187179;22651718;SE
5561189456;22651724;SE
5561189548;10583876;SE
5561189993;17566758;SE
5561190124;10583877;SE
5561192757;10583878;SE
5561192849;23021709;SE
5561193086;22651725;SE
5561194720;16146672;SE
5561194878;10583880;SE
5561196105;17901499;SE
5561196436;20616;SE
5561196576;23092558;SE
5561201541;18677046;SE
5561202218;9381681;SE
5561203000;11322451;SE
5561203398;22881704;SE
5561203679;22651726;SE
5561203828;2200806;SE
5561204487;10583886;SE
5561207837;10583888;SE
5561208827;23110971;SE
5561211417;21315981;SE
5561212613;392046;SE
5561217828;18110709;SE
5561218362;22651727;SE
5561220962;21538881;SE
5561221861;20730;SE
5561222000;9607205;SE
